IdExtraccion|Tema|NombreExtraccion|IdExtraccionMaestra|IndRegulatorio|DatoObligatorio|PLDataFactory|ValorDeltaInicial|ValorDeltaFinal|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado
616|InformacionOperativaPeriodicaSIN|10_Elementos_Recomendaciones_Electricas_Tiempo_Real||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Elementos_Recomendaciones_Electricas_Tiempo_Real|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T02:08:56.960Z|Finalizado
617|InformacionOperativaPeriodicaSIN|10_Mantenimientos_Recomendaciones_Electricas_Tiempo_Real||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Mantenimientos_Recomendaciones_Electricas_Tiempo_Real|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T02:08:59.057Z|Finalizado
618|InformacionOperativaPeriodicaSIN|10_Recomendaciones_Electricas_Tiempo_Real||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Recomendaciones_Electricas_Tiempo_Real|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T02:09:11.573Z|Finalizado
619|InformacionOperativaPeriodicaSIN|10_Estudio_EDAC||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Estudio_EDAC|2025-01-01|2025-12-31||Deltas OK!|||||Sin procesar
624|Maestras|Liquidacion||false|true|PL_SIMEM_Maestras_Liquidacion_Diaria|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T08:12:33.513Z|Finalizado
628|InformacionOperativaPeriodicaSIN|10_Estudio_Interconexion_Colombia_Ecuador||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Estudio_Interconexion_Colombia_Ecuador|2024-01-01|2024-12-31||Deltas OK!|||||Sin procesar
631|InfoGeneracionSeguridadyRestricciones|11.3_HorasIndisponibilidadLineas||true|false|PL_InfoGeneracionSeguridadyRestricciones_11_3_HorasIndisponibilidadLineas|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-12T13:01:15.130Z|Finalizado
637|Maestras|Liquidacion_Mensual||false|false|PL_SIMEM_Maestras_Liquidacion_Mensual|2024-08-31|2024-08-31||Problemas con deltas, se tienen 2024-08-31 y 2024-08-31, deberian ser 2024-09-01 y 2024-09-01 respectivamente.|Error|Pipeline - Fallo el notebook de curated al ejecutar -||2024-09-01T09:01:18.997Z|Fallido
645|InformacionFinancieraMEM|33.3_GarantiasDeReservaDeCapacidad||true|false|PL_InformacionFinancieraMEM_33_3_GarantiasDeReservaDeCapacidad|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-06T17:01:39.267Z|Finalizado
646|InfoGeneracionSeguridadyRestricciones|11.3_MontoIndisponibilidadLineasSTN||true|false|PL_InfoGeneracionSeguridadyRestricciones_11_3_MontoIndisponibilidadLineasSTN|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-12T13:01:18.377Z|Finalizado
652|InformacionGeneralSIN|9.1_ListadoUnidadesPlantas||true|true|PL_SIMEM_InformacionGeneralSIN_9_1_ListadoUnidadesPlantas|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-01T08:01:21.610Z|Finalizado
653|InformacionOperativaPeriodicaSIN|10_Reevaluacion_Parametros_AGC||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Reevaluacion_Parametros_AGC|2024-01-01|2024-12-31||Deltas OK!|||||Sin procesar
655|InformacionFinancieraMEM|Multifuente_33_2_219807_a||false|false|PL_SIMEM_InformacionFinancieraMEM_Multifuente_33_2_219807|2024-08-28|2024-09-03||Deltas OK!|Finalizado|||2024-08-28T06:03:45.417Z|Finalizado
728|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Aportes||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Aportes|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:46.690Z|Finalizado
729|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Demanda||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Demanda|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:21.543Z|Finalizado
730|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Importaciones_Netas||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Importaciones_Netas|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:43.770Z|Finalizado
731|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Reservas_Energia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Reservas_Energia|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:11.423Z|Finalizado
732|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Reservas_Porcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Reservas_Porcentaje|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:14.850Z|Finalizado
733|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Costos_Marginales||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Costos_Marginales|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:18.050Z|Finalizado
734|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Generacion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Generacion|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:09.530Z|Finalizado
735|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Vertimientos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Vertimientos|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:58.937Z|Finalizado
736|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Deficit||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Deficit|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:58.380Z|Finalizado
737|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Consumo_Combustible||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Consumo_Combustible|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:02:39.100Z|Finalizado
738|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Aportes||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Aportes|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:45.160Z|Finalizado
739|InfoGeneracionSeguridadyRestricciones|11.3_MontoIndisponibilidadLineasSTR||true|false|PL_InfoGeneracionSeguridadyRestricciones_11_3_MontoIndisponibilidadLineasSTR|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-13T11:28:13.820Z|Finalizado
744|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Demanda||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Demanda|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:55.787Z|Finalizado
745|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Importaciones_Netas||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Importaciones_Netas|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:57.970Z|Finalizado
746|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Reservas_Energia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Reservas_Energia|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:08.473Z|Finalizado
747|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Reservas_Porcentaje||true|true|PL_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Reservas_Porcentaje|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:50.450Z|Finalizado
748|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Costos_Marginales||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Costos_Marginales|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:57.917Z|Finalizado
749|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Generacion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Generacion|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:02.253Z|Finalizado
750|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Vertimientos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Vertimientos|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:43.037Z|Finalizado
751|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Deficit||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Deficit|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:51.550Z|Finalizado
752|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Consumo_Combustible||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Consumo_Combustible|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:11.443Z|Finalizado
754|InformacionGeneralSIN|9_1_RetiroPlantas||true|true|PL_SIMEM_InformacionGeneralSIN_9_1_RetiroPlantas|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-01T17:12:56.897Z|Finalizado
755|InformacionOperativaPeriodicaSIN|10_AportesHidraulicos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicos|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:02.980Z|Finalizado
756|InformacionOperativaPeriodicaSIN|10_AportesHidraulicosEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicosEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:02:47.373Z|Finalizado
757|InformacionOperativaPeriodicaSIN|10_AportesHidraulicosPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicosPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:40.217Z|Finalizado
758|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalses||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalses|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:46.567Z|Finalizado
759|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalsesEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalsesEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:15.713Z|Finalizado
760|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalsesPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalsesPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:19.933Z|Finalizado
761|InformacionOperativaPeriodicaSIN|10_VolumenTurbinado||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_VolumenTurbinado|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:18.480Z|Finalizado
763|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Mediano_Plazo_Indices||true|false|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Mediano_Plazo_Indices|2024-09-02|2024-09-08||Deltas OK!|Finalizado|||2024-09-01T17:03:17.427Z|Finalizado
765|InformacionOperativaPeriodicaSIN|10_PanoramaEnergeticoLargoPlazoIndices||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_PanoramaEnergeticoLargoPlazoIndices|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:09.630Z|Finalizado
779|Maestras|Versiones_RecEle||false|true|PL_SIMEM_Maestras_Versiones_RecEle|2024-01-01|2024-12-31||Deltas OK!|Finalizado|||2024-09-02T06:02:24.757Z|Finalizado
780|InformacionGeneralSIN|9_1_PlantaTermicaCombustible||true|true|PL_SIMEM_InformacionGeneralSIN_9_1_PlantaTermicaCombustible|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T08:01:21.463Z|Finalizado
790|InformacionOperativaPeriodicaSIN|Multifuente_P_10_InformeDiarioOperacionTIEProgramadaRealImportacion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_Multi_P_10_InformeDiarioOperacionTIEProgramadaRealImportacion|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:01:21.633Z|Finalizado
791|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionReservasHidraulicosEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionReservasHidraulicosEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:44.323Z|Finalizado
792|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionReservasHidraulicosPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionReservasHidraulicosPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:55.933Z|Finalizado
794|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionAportesHidraulicosEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionAportesHidraulicosEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:07.370Z|Finalizado
795|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionAportesHidraulicosPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionAportesHidraulicosPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:12.637Z|Finalizado
805|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionVariableMeteorologicaSolar||false|true|PL_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionVariableMeteorologicaSolar|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:02:47.377Z|Finalizado
806|InformacionOperativaPeriodicaSIN|10_PanoramaEnergeticoCortoPlazoEmbalse||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_PanoramaEnergeticoCortoPlazoEmbalse|2024-09-09|2024-09-15||Deltas OK!|Finalizado|||2024-09-01T18:01:27.787Z|Finalizado
807|InformacionOperativaPeriodicaSIN|10_PanoramaEnergeticoCortoPlazoGeneracion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_PanoramaEnergeticoCortoPlazoGeneracion|2024-09-09|2024-09-15||Deltas OK!|Finalizado|||2024-09-01T18:01:21.550Z|Finalizado
808|InformacionOperativaPeriodicaSIN|10_PanoramaEnergeticoCortoPlazoSupuestosyResultados||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_PanoramaEnergeticoCortoPlazoSupuestosyResultados|2024-09-09|2024-09-15||Deltas OK!|Finalizado|||2024-09-01T18:01:14.300Z|Finalizado
809|InformacionOperativaPeriodicaSIN|10_InformeDiarioOperacionVariableMeteorologicaEolica||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_InformeDiarioOperacionVariableMeteorologicaEolica|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:02:50.643Z|Finalizado
810|InformacionGeneralSIN|9_ListadoSubestacion||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoSubestacion|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:11:59.377Z|Finalizado
811|InformacionGeneralSIN|9_ListadoOperador||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoOperador|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:12:05.830Z|Finalizado
812|InformacionGeneralSIN|9_ListadoSubareaOperativa||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoSubareaOperativa|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:11:48.543Z|Finalizado
813|InformacionGeneralSIN|9_ListadoEmbalse||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoEmbalse|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:02:14.457Z|Finalizado
814|InformacionGeneralSIN|9_ListadoAreaOperativa||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoAreaOperativa|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T06:02:30.470Z|Finalizado
883|Maestras|36_ReportesTrimestralesSobreCostosYPreciosMEM_Maestra||false|true|PL_SIMEM_ReporteTrimestralCostosPreciosdelMEM_36_ReportesTrimestralesSobreCostosYPreciosMEM|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T09:13:00.133Z|Finalizado
884|RegistroContratos|Multifuente_21_ReporteContratosUNR||true|true|PL_SIMEM_RegistroContratos_21_ReporteContratosUNR|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-01T04:01:14.277Z|Finalizado
889|InformacionFinancieraMEM|Multifuente_33_2_GarantiasParaCubrirTransaccionesDelMEM||true|false|PL_SIMEM_InformacionFinancieraMEM_33_2_GarantiasParaCubrirTransaccionesDelMEM|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-11T06:01:52.793Z|Finalizado
891|RegistroContratos|21_EstadoFacturacionContratoUNR||false|true|PL_SIMEM_RegistroContratos_21_EstadoFacturacionContratoUNR|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T03:02:07.287Z|Finalizado
892|RegistroContratos|21_RepresentantesFronterasUNR||false|true|PL_SIMEM_RegistroContratos_21_RepresentantesFronterasUNR|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-02T03:01:55.860Z|Finalizado
893|InformacionGeneralSIN|9_ListadoPlantasPruebas||true|true|PL_SIMEM_InformacionGeneralSIN_9_ListadoPlantasPruebas|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-01T07:16:47.300Z|Finalizado
898|RegistroContratos|Multifuente_38_ReporteContratosLP||true|true|PL_SIMEM_RegistroContratos_38_ReporteContratosLP|2024-06-01|2024-06-30||Problemas con deltas, se tienen 2024-06-01 y 2024-06-30, deberian ser 2024-09-01 y 2024-09-30 respectivamente.|Iniciado|||2024-08-29T09:44:42.290Z|Fallido
903|Metricas|MetricasApiDatos||false|true|PL_SIMEM_Metricas_MetricasApiDatos|2024-08-19|2024-08-19||Falta configurar alerta de delta|Iniciado|||2024-08-21T07:02:17.010Z|Fallido
904|Metricas|MetricasApiArchivos||false|true|PL_SIMEM_Metricas_MetricasApiArchivos|2024-08-19|2024-08-19||Falta configurar alerta de delta|Iniciado|||2024-08-21T07:02:19.387Z|Fallido
905|Metricas|MetricasFrontDoor||false|true|PL_SIMEM_Metricas_MetricasFrontDoor|2024-08-19|2024-08-19||Falta configurar alerta de delta|Finalizado|||2024-08-20T15:19:59.577Z|Fallido
266|InfoCargoPorConfiabilidad|12_PreciosDeEscasez||true|true|PL_InfoCargoPorConfiabilidad_12_PreciosDeEscasez|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-06T03:01:25.283Z|Finalizado
368|InformacionOfertasdePreciosMEM|18_PrecioOfertaGeneradores||true|true|PL_SIMEM_InformacionOfertasdePreciosMEM_18_PrecioOfertaGeneradores|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-02T05:01:56.967Z|Finalizado
371|InformacionOfertasdePreciosMEM|18_PrecioOfertaPlantaConfiguracion||true|true|PL_SIMEM_InformacionOfertasdePreciosMEM_18_PrecioOfertaPlantaConfiguracion|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-09-02T05:01:48.613Z|Finalizado
372|InformacionOfertasdePreciosMEM|18_PrecioOfertaArranqueParadaRecursoUSD||false|true|PL_SIMEM_InformacionOfertasdePreciosMEM_18_PrecioOfertaArranqueParadaRecursoUSD|2024-10-01|2024-10-31||Deltas OK!|Finalizado|||2024-08-29T14:56:48.483Z|Finalizado
476|InfoPreciosyCantidadesMercadoNoRegulado|25_FrtNivelTensionMCyFactorPerd_4||true|true|PL_SIMEM_InfoPreciosyCantidadesMercadoNoRegulado_25_FrtNivelTensionMCyFactorPerd|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-16T03:12:05.183Z|Finalizado
477|InfoPreciosyCantidadesMercadoNoRegulado|Multifuente_25_CantidadesUNR||true|false|PL_SIMEM_InfoPreciosyCantidadesMercadoNoRegulado_25_CantidadesUNR|2024-09-01|2029-08-31||Deltas OK!|Finalizado|||2024-08-16T03:01:08.237Z|Finalizado
478|InfoPreciosyCantidadesMercadoNoRegulado|Multifuente_25_PreciosUNR||true|false|PL_SIMEM_InfoPreciosyCantidadesMercadoNoRegulado_25_PreciosUNR|2024-09-01|2029-08-31||Deltas OK!|Finalizado|||2024-08-16T03:00:57.637Z|Finalizado
480|InfoPreciosyCantidadesMercadoNoRegulado|25_FrtDemanda_2||true|true|PL_SIMEM_InfoPreciosyCantidadesMercadoNoRegulado_25_FrtDemanda_2|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-16T03:01:13.043Z|Finalizado
481|InfoPreciosyCantidadesMercadoNoRegulado|Multifuente_25_FacturasUNR||true|false|PL_SIMEM_InfoPreciosyCantidadesMercadoNoRegulado_25_FacturasUNR|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-16T03:01:17.300Z|Finalizado
643|ReporteAnualCostosPreciosdelMEM|35_ReportesAnualesSobreCostosYPreciosMEM||true|true|PL_SIMEM_ReporteAnualCostosPreciosdelMEM_35_ReportesAnualesSobreCostosYPreciosMEM|2023-01-01|2023-12-31||Deltas OK!|Finalizado|||2024-05-20T16:44:37.440Z|Finalizado
658|InfoCargoPorConfiabilidad|16_IPPUSA||false|true|PL_SIMEM_InfoCargoPorConfiabilidad_16_IPPUSA|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-05T23:01:11.387Z|Finalizado
659|InformacionOfertasdePreciosMEM|Multifuente_18_185682_d||true|false|PL_InformacionOfertasdePreciosMEM_18_CodigosicagenteRecursoCombustibletipoEstadoUnidadVersionPeriodo1|2024-08-01|2024-08-31||Deltas OK!|Finalizado|||2024-08-05T19:58:43.490Z|Finalizado
